tool,nthreads,size,repetitions,usec
OpenMP,2,100000,1000,336669
OpenMP,2,100000,1000,319781
OpenMP,2,100000,1000,334895
OpenMP,2,100000,1000,324276
OpenMP,2,100000,1000,317690
OpenMP,2,100000,1000,339455
OpenMP,4,50000,1000,197923
OpenMP,4,50000,1000,194925
OpenMP,4,50000,1000,207892
OpenMP,4,50000,1000,197998
OpenMP,4,50000,1000,209787
OpenMP,4,50000,1000,209542
OpenMP,4,50000,1000,211812
OpenMP,4,50000,1000,203309
OpenMP,4,50000,1000,202303
OpenMP,4,50000,1000,202065
OpenMP,1,2000000,3000,16666531
OpenMP,1,2000000,3000,16676709
OpenMP,1,2000000,3000,16833718
OpenMP,1,2000000,3000,16662992
OpenMP,1,2000000,3000,16994540
OpenMP,1,2000000,3000,16730555
OpenMP,1,2000000,3000,16626926
OpenMP,1,2000000,3000,16640307
OpenMP,1,2000000,3000,16649191
OpenMP,1,2000000,3000,16613922
OpenMP,2,1000000,3000,8979120
OpenMP,2,1000000,3000,8706826
OpenMP,2,1000000,3000,9072100
OpenMP,2,1000000,3000,8801799
OpenMP,2,1000000,3000,8971298
OpenMP,2,1000000,3000,8870621
OpenMP,2,1000000,3000,8896762
OpenMP,2,1000000,3000,8765965
OpenMP,2,1000000,3000,8927747
OpenMP,2,1000000,3000,8782840
OpenMP,4,500000,3000,5501274
OpenMP,4,500000,3000,5493314
OpenMP,4,500000,3000,5495576
OpenMP,4,500000,3000,5494771
OpenMP,4,500000,3000,5619890
OpenMP,4,500000,3000,5503548
OpenMP,4,500000,3000,5508100
OpenMP,4,500000,3000,5464418
OpenMP,4,500000,3000,5463177
OpenMP,4,500000,3000,5488986
OpenMP,1,2000000,2000,11170959
OpenMP,1,2000000,2000,11096157
OpenMP,1,2000000,2000,11187622
OpenMP,1,2000000,2000,11048647
OpenMP,1,2000000,2000,11206682
OpenMP,1,2000000,2000,11137418
OpenMP,1,2000000,2000,11032105
OpenMP,1,2000000,2000,10970277
OpenMP,1,2000000,2000,11128092
OpenMP,1,2000000,2000,11087893
OpenMP,2,1000000,2000,5914996
OpenMP,2,1000000,2000,5949988
OpenMP,2,1000000,2000,5961431
OpenMP,2,1000000,2000,5983741
OpenMP,2,1000000,2000,5861433
OpenMP,2,1000000,2000,5984515
OpenMP,2,1000000,2000,5946739
OpenMP,2,1000000,2000,5819412
OpenMP,2,1000000,2000,5960272
OpenMP,2,1000000,2000,5850263
OpenMP,4,500000,2000,3702529
OpenMP,4,500000,2000,3693930
OpenMP,4,500000,2000,3686301
OpenMP,4,500000,2000,3693233
OpenMP,4,500000,2000,3674950
OpenMP,4,500000,2000,3669015
OpenMP,4,500000,2000,3675823
OpenMP,4,500000,2000,3671610
OpenMP,4,500000,2000,3671735
OpenMP,4,500000,2000,3659509
OpenMP,1,2000000,1000,5581594
OpenMP,1,2000000,1000,5566093
OpenMP,1,2000000,1000,5550651
OpenMP,1,2000000,1000,5589915
OpenMP,1,2000000,1000,5516373
OpenMP,1,2000000,1000,5629237
